gene,gene_name
1,SCIN
2,CD4
3,CD74
4,KITLG
5,CASP8
6,ATP6AP1
7,GNAS
8,TESC
9,THPO
10,ANKRD54
11,HIF1A
12,ACIN1
13,JAG1_1
14,GATA1
15,CA2
16,HOXA5
17,CSF3
18,IL23A
19,IFNG
20,MAPK14
21,IL17A
22,SMAP1
23,IL12B
24,IL5
25,STAT1
26,ID2
27,CREB1
28,FOXO3
29,GPR68
30,TNFSF11
31,ACVR2A
32,INHBA
33,NCKAP1L
34,FAM210B
35,MED1
36,PRMT1
37,LIF
38,CD101
39,ETS1
40,ACVR1B
41,RIPK1
42,LEF1
43,RB1
44,ARNT
45,HAX1
46,OCSTAMP
47,POU4F2
48,POU4F1
49,PRKCA
50,KLF10
51,PPARGC1B
52,IL34
53,TAL1
54,IL23R
55,TRIM58
56,IL20
57,PF4
58,CCR1
59,SLC9B2
60,HMGB2
61,DCSTAMP
62,FADD
63,STAT3
64,INPP5D
65,ROR2
66,FOS
67,ZNF16
68,TRIB1
69,STAT5B
70,LEP
71,TRAF6
72,JUN
73,CTNNBIP1
74,GATA2
75,HCLS1
76,TMEM64
77,FES
78,CSF1
79,MAPK11
80,ZFP36L1
81,EVI2B
82,TNF
