t_name,transcript_id
ADAR_9,ENST00000292205
ADAR_4,ENST00000368474
ADAR_5,ENST00000368471
ADAR_3,ENST00000492630
ADAR_11,ENST00000529168
ADAR_7,ENST00000530954
ADAR_1,ENST00000534279
ADAR_2,ENST00000463920
ADAR_8,ENST00000494866
ADAR_10,ENST00000471068
ADAR_6,ENST00000526905
ADARB1_7,ENST00000462214
ADARB1_12,ENST00000460734
ADARB1_5,ENST00000539173
ADARB1_4,ENST00000437626
ADARB1_6,ENST00000348831
ADARB1_1,ENST00000492414
ADARB1_3,ENST00000389861
ADARB1_2,ENST00000389863
ADARB1_11,ENST00000496664
ADARB2_5,ENST00000381312
ADARB2_6,ENST00000381310
ADARB2_2,ENST00000474762
ADARB2_4,ENST00000490172
ADARB2_7,ENST00000381305
ADARB2_3,ENST00000477140
ADARB2_1,ENST00000469464
